ROTULO_COLUNA;NOME_CURTO;DESCRICAO_COMPLETA;TIPO_DADO;UNIDADE;ANO_REFERENCIA;FONTE_PRIMARIA;FONTE_SECUNDARIA
IDHM_EDUCACAO_1991;IDHM Educação 1991;Componente educação do IDHM em 1991 (0 a 1);DECIMAL;índice;1991;PNUD;Atlas do Desenvolvimento Humano
IDHM_EDUCACAO_2000;IDHM Educação 2000;Componente educação do IDHM em 2000 (0 a 1);DECIMAL;índice;2000;PNUD;Atlas do Desenvolvimento Humano
IDHM_EDUCACAO_2010;IDHM Educação 2010;Componente educação do IDHM em 2010 (0 a 1);DECIMAL;índice;2010;PNUD;Atlas do Desenvolvimento Humano
ESPERANCA_VIDA_1991;Esperança Vida 1991;Expectativa de vida ao nascer em anos em 1991;DECIMAL;anos;1991;IBGE;Atlas do Desenvolvimento Humano
ESPERANCA_VIDA_2000;Esperança Vida 2000;Expectativa de vida ao nascer em anos em 2000;DECIMAL;anos;2000;IBGE;Atlas do Desenvolvimento Humano
ESPERANCA_VIDA_2010;Esperança Vida 2010;Expectativa de vida ao nascer em anos em 2010;DECIMAL;anos;2010;IBGE;Atlas do Desenvolvimento Humano
PIB_PER_CAPITA_2019;PIB Per Capita 2019;Produto Interno Bruto per capita a preços correntes em reais em 2019;DECIMAL;R$;2019;IBGE;Produto Interno Bruto dos Municípios
PIB_PER_CAPITA_2020;PIB Per Capita 2020;Produto Interno Bruto per capita a preços correntes em reais em 2020;DECIMAL;R$;2020;IBGE;Produto Interno Bruto dos Municípios
PIB_PER_CAPITA_2021;PIB Per Capita 2021;Produto Interno Bruto per capita a preços correntes em reais em 2021;DECIMAL;R$;2021;IBGE;Produto Interno Bruto dos Municípios
VAB_AGROPECUARIA_2019;VAB Agropec. 2019;Valor Adicionado Bruto da Agropecuária em milhares de reais em 2019;DECIMAL;mil R$;2019;IBGE;Produto Interno Bruto dos Municípios
VAB_AGROPECUARIA_2020;VAB Agropec. 2020;Valor Adicionado Bruto da Agropecuária em milhares de reais em 2020;DECIMAL;mil R$;2020;IBGE;Produto Interno Bruto dos Municípios
VAB_AGROPECUARIA_2021;VAB Agropec. 2021;Valor Adicionado Bruto da Agropecuária em milhares de reais em 2021;DECIMAL;mil R$;2021;IBGE;Produto Interno Bruto dos Municípios
VAB_INDUSTRIA_2019;VAB Indústria 2019;Valor Adicionado Bruto da Indústria em milhares de reais em 2019;DECIMAL;mil R$;2019;IBGE;Produto Interno Bruto dos Municípios
VAB_INDUSTRIA_2020;VAB Indústria 2020;Valor Adicionado Bruto da Indústria em milhares de reais em 2020;DECIMAL;mil R$;2020;IBGE;Produto Interno Bruto dos Municípios
VAB_INDUSTRIA_2021;VAB Indústria 2021;Valor Adicionado Bruto da Indústria em milhares de reais em 2021;DECIMAL;mil R$;2021;IBGE;Produto Interno Bruto dos Municípios
VAB_SERVICOS_2019;VAB Serviços 2019;Valor Adicionado Bruto de Serviços incluindo Administração Pública em milhares de reais em 2019;DECIMAL;mil R$;2019;IBGE;Produto Interno Bruto dos Municípios
VAB_SERVICOS_2020;VAB Serviços 2020;Valor Adicionado Bruto de Serviços incluindo Administração Pública em milhares de reais em 2020;DECIMAL;mil R$;2020;IBGE;Produto Interno Bruto dos Municípios
VAB_SERVICOS_2021;VAB Serviços 2021;Valor Adicionado Bruto de Serviços incluindo Administração Pública em milhares de reais em 2021;DECIMAL;mil R$;2021;IBGE;Produto Interno Bruto dos Municípios
EMPREGOS_AGROPECUARIA_2022;Empregos Agropec. 2022;Número de empregos formais no setor agropecuário em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_INDUSTRIA_2022;Empregos Indústria 2022;Número de empregos formais no setor industrial em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_CONSTRUCAO_2022;Empregos Construção 2022;Número de empregos formais no setor de construção civil em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_COMERCIO_2022;Empregos Comércio 2022;Número de empregos formais no setor de comércio em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_SERVICOS_2022;Empregos Serviços 2022;Número de empregos formais no setor de serviços em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_ADM_PUBLICA_2022;Empregos Adm. Púb. 2022;Número de empregos formais na administração pública em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
EMPREGOS_SEM_FUNDAMENTAL_2022;Empregos s/ Fund. 2022;Número de empregos formais ocupados por pessoas sem ensino fundamental completo em 2022;INTEGER;vínculos;2022;MTE;RAIS/CAGED
FPM_2023;FPM 2023;Fundo de Participação dos Municípios recebido em milhares de reais em 2023;DECIMAL;mil R$;2023;STN;FINBRA - Finanças Municipais
FUNDEB_2023;FUNDEB 2023;Recursos recebidos do Fundo de Desenvolvimento da Educação Básica em milhares de reais em 2023;DECIMAL;mil R$;2023;STN;FINBRA - Finanças Municipais
ICMS_2023;ICMS 2023;Receita de transferências de ICMS em milhares de reais em 2023;DECIMAL;mil R$;2023;STN;FINBRA - Finanças Municipais
IPVA_2023;IPVA 2023;Receita de transferências de IPVA em milhares de reais em 2023;DECIMAL;mil R$;2023;STN;FINBRA - Finanças Municipais
MATRICULAS_MEDIO_2023;Matr. Médio 2023;Número de matrículas no ensino médio em 2023;INTEGER;matrículas;2023;INEP;Censo Escolar
MATRICULAS_EJA_2023;Matr. EJA 2023;Número de matrículas na Educação de Jovens e Adultos em 2023;INTEGER;matrículas;2023;INEP;Censo Escolar
IDEB_ANOS_INICIAIS_2015;IDEB Anos Inic. 2015;Índice de Desenvolvimento da Educação Básica para anos iniciais do fundamental em 2015;DECIMAL;índice;2015;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_INICIAIS_2017;IDEB Anos Inic. 2017;Índice de Desenvolvimento da Educação Básica para anos iniciais do fundamental em 2017;DECIMAL;índice;2017;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_INICIAIS_2019;IDEB Anos Inic. 2019;Índice de Desenvolvimento da Educação Básica para anos iniciais do fundamental em 2019;DECIMAL;índice;2019;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_INICIAIS_2021;IDEB Anos Inic. 2021;Índice de Desenvolvimento da Educação Básica para anos iniciais do fundamental em 2021;DECIMAL;índice;2021;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_FINAIS_2015;IDEB Anos Finais 2015;Índice de Desenvolvimento da Educação Básica para anos finais do fundamental em 2015;DECIMAL;índice;2015;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_FINAIS_2017;IDEB Anos Finais 2017;Índice de Desenvolvimento da Educação Básica para anos finais do fundamental em 2017;DECIMAL;índice;2017;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_FINAIS_2019;IDEB Anos Finais 2019;Índice de Desenvolvimento da Educação Básica para anos finais do fundamental em 2019;DECIMAL;índice;2019;INEP;Índice de Desenvolvimento da Educação Básica
IDEB_ANOS_FINAIS_2021;IDEB Anos Finais 2021;Índice de Desenvolvimento da Educação Básica para anos finais do fundamental em 2021;DECIMAL;índice;2021;INEP;Índice de Desenvolvimento da Educação Básica
ESTABELECIMENTOS_SAUDE_2023;Estabelec. Saúde 2023;Número de estabelecimentos de saúde cadastrados no CNES em 2023;INTEGER;unidades;2023;DATASUS;Cadastro Nacional de Estabelecimentos de Saúde
LEITOS_SUS_2023;Leitos SUS 2023;Número de leitos hospitalares disponíveis para o SUS em 2023;INTEGER;leitos;2023;DATASUS;Cadastro Nacional de Estabelecimentos de Saúde
MEDICOS_2023;Médicos 2023;Número de médicos com registro no CNES em 2023;INTEGER;profissionais;2023;DATASUS;Cadastro Nacional de Estabelecimentos de Saúde
ENFERMEIROS_2023;Enfermeiros 2023;Número de enfermeiros com registro no CNES em 2023;INTEGER;profissionais;2023;DATASUS;Cadastro Nacional de Estabelecimentos de Saúde
DENTISTAS_2023;Dentistas 2023;Número de dentistas com registro no CNES em 2023;INTEGER;profissionais;2023;DATASUS;Cadastro Nacional de Estabelecimentos de Saúde
NASCIDOS_VIVOS_2022;Nascidos Vivos 2022;Número de nascidos vivos registrados no SINASC em 2022;INTEGER;nascimentos;2022;DATASUS;Sistema de Informações sobre Nascidos Vivos
TAXA_MORTALIDADE_INFANTIL_2022;Taxa Mort. Inf. 2022;Taxa de mortalidade infantil por mil nascidos vivos calculada a partir do SIM/SINASC em 2022;DECIMAL;por mil;2022;DATASUS;SIM/SINASC
CONSUMO_ENERGIA_RESIDENCIAL_2022;Cons. Energ. Resid. 2022;Consumo de energia elétrica residencial em MWh em 2022;DECIMAL;MWh;2022;EPE;Anuário Estatístico de Energia Elétrica
CONSUMO_ENERGIA_COMERCIAL_2022;Cons. Energ. Comerc. 2022;Consumo de energia elétrica comercial em MWh em 2022;DECIMAL;MWh;2022;EPE;Anuário Estatístico de Energia Elétrica
CONSUMO_ENERGIA_INDUSTRIAL_2022;Cons. Energ. Industr. 2022;Consumo de energia elétrica industrial em MWh em 2022;DECIMAL;MWh;2022;EPE;Anuário Estatístico de Energia Elétrica
CONSUMO_ENERGIA_RURAL_2022;Cons. Energ. Rural 2022;Consumo de energia elétrica rural em MWh em 2022;DECIMAL;MWh;2022;EPE;Anuário Estatístico de Energia Elétrica
VEICULOS_AUTOMOVEIS_2023;Veículos Autom. 2023;Número de automóveis registrados no município em 2023;INTEGER;veículos;2023;DENATRAN;Frota de Veículos
VEICULOS_MOTOCICLETAS_2023;Veículos Motos 2023;Número de motocicletas registradas no município em 2023;INTEGER;veículos;2023;DENATRAN;Frota de Veículos
VEICULOS_CAMINHOES_2023;Veículos Caminhões 2023;Número de caminhões registrados no município em 2023;INTEGER;veículos;2023;DENATRAN;Frota de Veículos
VEICULOS_ONIBUS_2023;Veículos Ônibus 2023;Número de ônibus registrados no município em 2023;INTEGER;veículos;2023;DENATRAN;Frota de Veículos
COBERTURA_4G_2024;Cobertura 4G 2024;Percentual de cobertura de sinal 4G no território municipal em 2024;PERCENTAGE;%;2024;ANATEL;Sistema de Controle de Radiodifusão
COLETA_SELETIVA_2022;Coleta Seletiva 2022;Indicador de existência de programa de coleta seletiva no município em 2022;TEXT;sim/não;2022;SNIS;Sistema Nacional de Informações sobre Saneamento
ELEITORES_FUNDAMENTAL_INCOMPLETO_2024;Eleitores Fund. Inc. 2024;Número de eleitores com ensino fundamental incompleto em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ELEITORES_FUNDAMENTAL_COMPLETO_2024;Eleitores Fund. Compl. 2024;Número de eleitores com ensino fundamental completo em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ELEITORES_MEDIO_INCOMPLETO_2024;Eleitores Médio Inc. 2024;Número de eleitores com ensino médio incompleto em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ELEITORES_MEDIO_COMPLETO_2024;Eleitores Médio Compl. 2024;Número de eleitores com ensino médio completo em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ELEITORES_SUPERIOR_INCOMPLETO_2024;Eleitores Super. Inc. 2024;Número de eleitores com ensino superior incompleto em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ELEITORES_SUPERIOR_COMPLETO_2024;Eleitores Super. Compl. 2024;Número de eleitores com ensino superior completo em 2024;INTEGER;eleitores;2024;TSE;Estatísticas do Eleitorado
ACESSOS_BANDA_LARGA_2019;Acessos Banda Larga;Número de acessos de banda larga fixa no município em 2019;INTEGER;acessos;2019;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_BANDA_LARGA_2020;Acessos Banda Larga;Número de acessos de banda larga fixa no município em 2020;INTEGER;acessos;2020;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_BANDA_LARGA_2021;Acessos Banda Larga;Número de acessos de banda larga fixa no município em 2021;INTEGER;acessos;2021;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_BANDA_LARGA_2022;Acessos Banda Larga;Número de acessos de banda larga fixa no município em 2022;INTEGER;acessos;2022;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_BANDA_LARGA_2023;Acessos Banda Larga;Número de acessos de banda larga fixa no município em 2023;INTEGER;acessos;2023;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_FIXA_2019;Acessos Telefonia Fixa;Número de acessos de telefonia fixa no município em 2019;INTEGER;acessos;2019;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_FIXA_2020;Acessos Telefonia Fixa;Número de acessos de telefonia fixa no município em 2020;INTEGER;acessos;2020;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_FIXA_2021;Acessos Telefonia Fixa;Número de acessos de telefonia fixa no município em 2021;INTEGER;acessos;2021;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_FIXA_2022;Acessos Telefonia Fixa;Número de acessos de telefonia fixa no município em 2022;INTEGER;acessos;2022;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_FIXA_2023;Acessos Telefonia Fixa;Número de acessos de telefonia fixa no município em 2023;INTEGER;acessos;2023;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_MOVEL_2019;Acessos Telefonia Movel;Número de acessos de telefonia móvel (linhas ativas) no município em 2019;INTEGER;acessos;2019;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_MOVEL_2020;Acessos Telefonia Movel;Número de acessos de telefonia móvel (linhas ativas) no município em 2020;INTEGER;acessos;2020;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_MOVEL_2021;Acessos Telefonia Movel;Número de acessos de telefonia móvel (linhas ativas) no município em 2021;INTEGER;acessos;2021;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_MOVEL_2022;Acessos Telefonia Movel;Número de acessos de telefonia móvel (linhas ativas) no município em 2022;INTEGER;acessos;2022;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TELEFONIA_MOVEL_2023;Acessos Telefonia Movel;Número de acessos de telefonia móvel (linhas ativas) no município em 2023;INTEGER;acessos;2023;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TV_ASSINATURA_2019;Acessos Tv Assinatura;Número de acessos de TV por assinatura no município em 2019;INTEGER;acessos;2019;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TV_ASSINATURA_2020;Acessos Tv Assinatura;Número de acessos de TV por assinatura no município em 2020;INTEGER;acessos;2020;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TV_ASSINATURA_2021;Acessos Tv Assinatura;Número de acessos de TV por assinatura no município em 2021;INTEGER;acessos;2021;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TV_ASSINATURA_2022;Acessos Tv Assinatura;Número de acessos de TV por assinatura no município em 2022;INTEGER;acessos;2022;ANATEL;Sistema de Acompanhamento de Dados
ACESSOS_TV_ASSINATURA_2023;Acessos Tv Assinatura;Número de acessos de TV por assinatura no município em 2023;INTEGER;acessos;2023;ANATEL;Sistema de Acompanhamento de Dados
ACIDENTES_ANIMAIS_PECONHENTOS_2019;Acidentes Animais Peconhentos;Número de casos notificados de acidentes por animais peçonhentos em 2019;INTEGER;unidades;2019;DATASUS;Sistema de Informação de Agravos de Notificação
ACIDENTES_ANIMAIS_PECONHENTOS_2020;Acidentes Animais Peconhentos;Número de casos notificados de acidentes por animais peçonhentos em 2020;INTEGER;unidades;2020;DATASUS;Sistema de Informação de Agravos de Notificação
ACIDENTES_ANIMAIS_PECONHENTOS_2021;Acidentes Animais Peconhentos;Número de casos notificados de acidentes por animais peçonhentos em 2021;INTEGER;unidades;2021;DATASUS;Sistema de Informação de Agravos de Notificação
ACIDENTES_ANIMAIS_PECONHENTOS_2022;Acidentes Animais Peconhentos;Número de casos notificados de acidentes por animais peçonhentos em 2022;INTEGER;unidades;2022;DATASUS;Sistema de Informação de Agravos de Notificação
ACIDENTES_ANIMAIS_PECONHENTOS_2023;Acidentes Animais Peconhentos;Número de casos notificados de acidentes por animais peçonhentos em 2023;INTEGER;unidades;2023;DATASUS;Sistema de Informação de Agravos de Notificação
ADMISSOES_2020;Admissoes;Número de admissões em empregos formais registradas no CAGED em 2020;INTEGER;unidades;2020;MTE;RAIS/CAGED
ADMISSOES_2021;Admissoes;Número de admissões em empregos formais registradas no CAGED em 2021;INTEGER;unidades;2021;MTE;RAIS/CAGED
ADMISSOES_2022;Admissoes;Número de admissões em empregos formais registradas no CAGED em 2022;INTEGER;unidades;2022;MTE;RAIS/CAGED
ADMISSOES_2023;Admissoes;Número de admissões em empregos formais registradas no CAGED em 2023;INTEGER;unidades;2023;MTE;RAIS/CAGED
AGENCIAS_BANCARIAS_2024;Agencias Bancarias;Número de agências bancárias em funcionamento em 2024;INTEGER;unidades;2024;BACEN;Estatísticas Bancárias por Município
AGENCIAS_CORREIOS_2024;Agencias Correios;Número de agências dos Correios em funcionamento em 2024;INTEGER;unidades;2024;Correios;Rede de Atendimento
AGUA_POCO_NASCENTE_1991;Agua Poco Nascente;Número de domicílios com abastecimento de água por poço ou nascente em 1991;INTEGER;unidades;1991;IBGE;Base de Dados Municipal
AGUA_POCO_NASCENTE_2000;Agua Poco Nascente;Número de domicílios com abastecimento de água por poço ou nascente em 2000;INTEGER;unidades;2000;IBGE;Base de Dados Municipal
AGUA_POCO_NASCENTE_2010;Agua Poco Nascente;Número de domicílios com abastecimento de água por poço ou nascente em 2010;INTEGER;unidades;2010;IBGE;Base de Dados Municipal
AGUA_POCO_NASCENTE_2021;Agua Poco Nascente;Número de domicílios com abastecimento de água por poço ou nascente em 2021;INTEGER;unidades;2021;IBGE;Base de Dados Municipal
AGUA_REDE_GERAL_1991;Agua Rede Geral;Número de domicílios com abastecimento de água por rede geral em 1991;INTEGER;unidades;1991;IBGE;Base de Dados Municipal
AGUA_REDE_GERAL_2000;Agua Rede Geral;Número de domicílios com abastecimento de água por rede geral em 2000;INTEGER;unidades;2000;IBGE;Base de Dados Municipal
AGUA_REDE_GERAL_2010;Agua Rede Geral;Número de domicílios com abastecimento de água por rede geral em 2010;INTEGER;unidades;2010;IBGE;Base de Dados Municipal
AGUA_REDE_GERAL_2021;Agua Rede Geral;Número de domicílios com abastecimento de água por rede geral em 2021;INTEGER;unidades;2021;IBGE;Base de Dados Municipal
AIDS_2019;Aids;Número de casos notificados de AIDS em 2019;INTEGER;unidades;2019;DATASUS;Sistema de Informação de Agravos de Notificação
AIDS_2020;Aids;Número de casos notificados de AIDS em 2020;INTEGER;unidades;2020;DATASUS;Sistema de Informação de Agravos de Notificação
AIDS_2021;Aids;Número de casos notificados de AIDS em 2021;INTEGER;unidades;2021;DATASUS;Sistema de Informação de Agravos de Notificação
AIDS_2022;Aids;Número de casos notificados de AIDS em 2022;INTEGER;unidades;2022;DATASUS;Sistema de Informação de Agravos de Notificação
AIDS_2023;Aids;Número de casos notificados de AIDS em 2023;INTEGER;unidades;2023;DATASUS;Sistema de Informação de Agravos de Notificação
ALTITUDE_M;Altitude M;Altitude média do município em metros acima do nível do mar;INTEGER;metros;2023;IBGE;Base de Dados Municipal
AQUICULTURA_CAMARAO_2019;Aquicultura Camarao;Produção de camarão em aquicultura em quilogramas em 2019;INTEGER;kg;2019;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_CAMARAO_2020;Aquicultura Camarao;Produção de camarão em aquicultura em quilogramas em 2020;INTEGER;kg;2020;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_CAMARAO_2021;Aquicultura Camarao;Produção de camarão em aquicultura em quilogramas em 2021;INTEGER;kg;2021;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_CAMARAO_2022;Aquicultura Camarao;Produção de camarão em aquicultura em quilogramas em 2022;INTEGER;kg;2022;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_CAMARAO_2023;Aquicultura Camarao;Produção de camarão em aquicultura em quilogramas em 2023;INTEGER;kg;2023;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_PEIXES_2019;Aquicultura Peixes;Aquicultura Peixes para o município em 2019;INTEGER;kg;2019;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_PEIXES_2020;Aquicultura Peixes;Aquicultura Peixes para o município em 2020;INTEGER;kg;2020;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_PEIXES_2021;Aquicultura Peixes;Aquicultura Peixes para o município em 2021;INTEGER;kg;2021;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_PEIXES_2022;Aquicultura Peixes;Aquicultura Peixes para o município em 2022;INTEGER;kg;2022;IBGE;Pesquisa da Pecuária Municipal
AQUICULTURA_PEIXES_2023;Aquicultura Peixes;Aquicultura Peixes para o município em 2023;INTEGER;kg;2023;IBGE;Pesquisa da Pecuária Municipal
AREA_ESTABELECIMENTOS_HA_2006;Area Estabelecimentos Ha;Area Estabelecimentos Ha para o município em 2006;DECIMAL;hectares;2006;IBGE;Base de Dados Municipal
AREA_ESTABELECIMENTOS_HA_2017;Area Estabelecimentos Ha;Area Estabelecimentos Ha para o município em 2017;DECIMAL;hectares;2017;IBGE;Base de Dados Municipal
AREA_LAVOURAS_PERMANENTES_2006;Area Lavouras Permanentes;Area Lavouras Permanentes para o município em 2006;DECIMAL;hectares;2006;IBGE;Pesquisa Agrícola Municipal
AREA_LAVOURAS_PERMANENTES_2017;Area Lavouras Permanentes;Area Lavouras Permanentes para o município em 2017;DECIMAL;hectares;2017;IBGE;Pesquisa Agrícola Municipal
AREA_LAVOURAS_TEMPORARIAS_2006;Area Lavouras Temporarias;Area Lavouras Temporarias para o município em 2006;DECIMAL;hectares;2006;IBGE;Pesquisa Agrícola Municipal
AREA_LAVOURAS_TEMPORARIAS_2017;Area Lavouras Temporarias;Area Lavouras Temporarias para o município em 2017;DECIMAL;hectares;2017;IBGE;Pesquisa Agrícola Municipal
AREA_MATAS_FLORESTAS_2006;Area Matas Florestas;Area Matas Florestas para o município em 2006;DECIMAL;hectares;2006;IBGE;Base de Dados Municipal
AREA_MATAS_FLORESTAS_2017;Area Matas Florestas;Area Matas Florestas para o município em 2017;DECIMAL;hectares;2017;IBGE;Base de Dados Municipal
AREA_MEDIA_ESTABELECIMENTOS_2006;Area Media Estabelecimentos;Area Media Estabelecimentos para o município em 2006;DECIMAL;hectares;2006;IBGE;Base de Dados Municipal
AREA_MEDIA_ESTABELECIMENTOS_2017;Area Media Estabelecimentos;Area Media Estabelecimentos para o município em 2017;DECIMAL;hectares;2017;IBGE;Base de Dados Municipal
AREA_PASTAGENS_2006;Area Pastagens;Area Pastagens para o município em 2006;DECIMAL;hectares;2006;IBGE;Base de Dados Municipal
AREA_PASTAGENS_2017;Area Pastagens;Area Pastagens para o município em 2017;DECIMAL;hectares;2017;IBGE;Base de Dados Municipal
ARROZ_AREA_2019;Arroz Area;Arroz Area para o município em 2019;DECIMAL;hectares;2019;IBGE;Produção Agrícola Municipal
ARROZ_AREA_2020;Arroz Area;Arroz Area para o município em 2020;DECIMAL;hectares;2020;IBGE;Produção Agrícola Municipal
ARROZ_AREA_2021;Arroz Area;Arroz Area para o município em 2021;DECIMAL;hectares;2021;IBGE;Produção Agrícola Municipal
ARROZ_AREA_2022;Arroz Area;Arroz Area para o município em 2022;DECIMAL;hectares;2022;IBGE;Produção Agrícola Municipal
ARROZ_AREA_2023;Arroz Area;Arroz Area para o município em 2023;DECIMAL;hectares;2023;IBGE;Produção Agrícola Municipal
ARROZ_PRODUCAO_2019;Arroz Producao;Arroz Producao para o município em 2019;INTEGER;toneladas;2019;IBGE;Produção Agrícola Municipal
ARROZ_PRODUCAO_2020;Arroz Producao;Arroz Producao para o município em 2020;INTEGER;toneladas;2020;IBGE;Produção Agrícola Municipal
ARROZ_PRODUCAO_2021;Arroz Producao;Arroz Producao para o município em 2021;INTEGER;toneladas;2021;IBGE;Produção Agrícola Municipal
ARROZ_PRODUCAO_2022;Arroz Producao;Arroz Producao para o município em 2022;INTEGER;toneladas;2022;IBGE;Produção Agrícola Municipal
ARROZ_PRODUCAO_2023;Arroz Producao;Arroz Producao para o município em 2023;INTEGER;toneladas;2023;IBGE;Produção Agrícola Municipal
